date, pm25, pm10, o3, no2, co
2022/12/20, 85, 87, 40, 12, 7
2022/12/21, 159, 93, 57, 13, 8
2022/12/22, 163, 100, 37, 13, 7
2022/12/23, 163, 72, 37, 13, 4
2022/12/24, 134, 89, 32, 13, 5
2022/12/25, 156, 80, 62, 13, 6
2022/12/26, 150, 100, 60, 13, 7
2022/12/27, 171, 82, 58, 13, 7
2022/12/28, 155, 92, 43, 14, 9
2022/12/29, 164, 123, 64, 14, 7
2022/12/30, 179, 69, 36, 13, 5
2022/12/31, 135, 69, 46, 14, 4
2023/1/1, 121, 71, 57, 13, 5
2022/7/1, 78, 68, 8, 1, 3
2022/7/2, 143, 62, 9, , 4
2022/7/3, 137, 49, 10, , 4
2022/7/4, 108, 48, 5, , 4
2022/7/5, 106, 49, 10, , 3
2022/7/6, 108, 56, 10, , 4
2022/7/7, 126, 49, 12, 1, 4
2022/7/8, 107, 44, 13, 3, 5
2022/7/9, 92, 44, 14, 3, 6
2022/7/10, 89, 46, 14, 3, 6
2022/7/11, 97, 29, 7, 3, 8
2022/7/12, 61, , , , 
2022/7/14, 75, 50, 8, 4, 6
2022/7/15, 110, 53, 14, 5, 1
2022/7/16, 117, 41, 10, 14, 2
2022/7/17, 93, 37, 6, 5, 1
2022/7/18, 81, 41, 7, 5, 2
2022/7/19, 87, 28, 13, 16, 2
2022/7/20, 66, 25, 9, 12, 2
2022/7/21, 62, 37, 14, 3, 3
2022/7/22, 84, 30, 14, 3, 5
2022/7/23, 69, 23, 6, 2, 5
2022/7/24, 59, 24, 6, , 6
2022/7/25, 60, 24, 6, 6, 5
2022/7/26, 62, 23, 10, 11, 6
2022/7/27, 57, 36, 5, 2, 6
2022/7/28, 80, 31, 9, 4, 6
2022/7/29, 69, 25, 9, , 5
2022/7/30, 58, 16, 5, , 5
2022/7/31, 40, 11, 11, 3, 6
2022/8/1, 28, 8, 12, , 6
2022/8/2, 23, 10, 12, 1, 7
2022/8/3, 29, 9, 8, 1, 7
2022/8/4, 29, 9, 6, 2, 6
2022/8/5, 27, , , , 
2022/8/8, 29, 31, 17, 3, 
2022/8/9, 73, , , , 
2022/8/12, 107, 41, 13, 19, 
2022/8/13, 94, , , , 
2022/8/18, 59, 20, 12, 21, 2
2022/8/19, 54, 18, 12, 22, 1
2022/8/20, 51, 21, 12, 23, 2
2022/8/21, 52, 23, 11, 22, 1
2022/8/22, 58, 20, 12, 24, 3
2022/8/23, 54, 22, 12, 23, 2
2022/8/24, 56, 26, 11, 27, 3
2022/8/25, 64, 31, 12, 15, 2
2022/8/26, 70, 50, 11, 31, 3
2022/8/27, 100, 40, 11, 31, 3
2022/8/28, 84, 32, 4, 16, 3
2022/8/29, 70, 56, 15, 33, 4
2022/8/30, 115, 50, 19, 32, 4
2022/8/31, 101, 39, 8, 18, 6
2022/9/1, 81, 55, 9, 17, 6
2022/9/2, 112, 41, 25, 36, 7
2022/9/3, 88, 28, 12, 18, 6
2022/9/4, 61, 21, 3, 18, 5
2022/9/5, 52, 25, 4, 37, 5
2022/9/6, 55, 36, 7, 34, 5
2022/9/7, 77, , , , 
2022/9/12, 91, 10, 10, 20, 7
2022/9/13, 30, 13, 20, 32, 6
2022/9/14, 38, 18, 8, 31, 6
2022/9/15, 48, 20, 8, 34, 6
2022/9/16, 53, 19, 12, 35, 6
2022/9/17, 51, 11, 7, 37, 7
2022/9/18, 31, 23, 5, 43, 8
2022/9/19, 56, 33, 6, 44, 9
2022/9/20, 73, 27, 3, 44, 7
2022/9/21, 62, 43, 2, 24, 8
2022/9/22, 85, 37, 3, 45, 8
2022/9/23, 80, 20, 7, 42, 9
2022/9/24, 38, 16, 10, 43, 7
2022/9/25, 33, 20, 7, 44, 7
2022/9/26, 48, 26, 3, 23, 8
2022/9/27, 62, 53, 11, 47, 9
2022/9/28, 103, 48, 18, 42, 8
2022/9/29, 98, 51, 19, 43, 8
2022/9/30, 106, 50, 10, 43, 10
2022/4/1, 130, 60, 9, 19, 7
2022/4/2, 127, 48, 18, 4, 8
2022/4/3, 103, 43, 18, 19, 8
2022/4/4, 95, 57, 21, 4, 6
2022/4/5, 99, 37, 21, 4, 5
2022/4/6, 78, 39, 28, 19, 6
2022/4/7, 89, 36, 25, 18, 6
2022/4/8, 78, 39, 21, 4, 6
2022/4/9, 82, 37, 11, 19, 5
2022/4/10, 73, 52, 25, 4, 5
2022/4/11, 95, 31, 17, 4, 6
2022/4/12, 71, 45, 22, 4, 7
2022/4/13, 92, 34, 13, 19, 6
2022/4/14, 71, 47, 21, 4, 7
2022/4/15, 97, , , , 
2022/4/18, 63, 40, 11, 4, 6
2022/4/19, 84, 29, 10, 4, 6
2022/4/20, 67, , , , 
2022/4/29, 90, 35, 21, 19, 8
2022/4/30, 78, 29, 14, 4, 7
2022/5/1, 69, 35, 15, 19, 7
2022/5/2, 77, 50, 16, 19, 7
2022/5/3, 101, 55, 17, 19, 7
2022/5/4, 113, 63, 18, 18, 7
2022/5/5, 137, 95, 8, 19, 7
2022/5/6, 169, 92, 18, 4, 9
2022/5/7, 168, 56, 9, 22, 11
2022/5/8, 124, 59, 12, 5, 9
2022/5/9, 97, 39, 4, 19, 11
2022/5/10, 66, 34, 6, 5, 9
2022/5/11, 78, 50, 13, 18, 11
2022/5/12, 102, 28, 12, 19, 10
2022/5/13, 67, 29, 8, 19, 10
2022/5/14, 63, 30, 5, 18, 10
2022/5/15, 66, 36, 26, 18, 7
2022/5/16, 76, 38, 27, 19, 5
2022/5/17, 82, 56, 15, 19, 5
2022/5/18, 110, 92, 24, 18, 5
2022/5/19, 156, 104, 12, , 5
2022/5/20, 176, 79, 9, , 4
2022/5/21, 158, 50, 8, , 4
2022/5/22, 103, 35, 3, , 3
2022/5/23, 76, 40, 8, , 4
2022/5/24, 83, 44, 7, , 4
2022/5/25, 92, 50, 7, , 5
2022/5/26, 106, 38, 7, , 4
2022/5/27, 80, 32, 8, , 5
2022/5/28, 70, 37, 4, , 4
2022/5/29, 77, 48, 8, , 4
2022/5/30, 99, 51, 4, , 4
2022/5/31, 107, 53, 9, , 4
2022/6/1, 112, 59, 10, , 4
2022/6/2, 127, 61, 5, , 4
2022/6/3, 133, 48, 7, , 5
2022/6/4, 99, 38, 10, , 5
2022/6/5, 83, 39, 9, , 5
2022/6/6, 83, 34, 9, , 5
2022/6/7, 76, 18, 9, , 5
2022/6/8, 47, 17, 10, , 6
2022/6/9, 43, 27, 4, , 6
2022/6/10, 58, 14, 3, , 6
2022/6/11, 36, 9, 5, , 7
2022/6/12, 26, 23, 3, , 6
2022/6/13, 55, 35, 6, , 6
2022/6/14, 78, 34, 7, , 7
2022/6/15, 75, 32, 3, , 6
2022/6/16, 70, 34, 7, , 7
2022/6/17, 74, 28, 2, 7, 7
2022/6/18, 67, 17, 3, 8, 8
2022/6/19, 44, 14, 3, 3, 8
2022/6/20, 39, 26, 3, 4, 8
2022/6/21, 54, 35, 4, 7, 7
2022/6/22, 65, 29, 10, 4, 9
2022/6/23, 59, 30, 5, 10, 9
2022/6/24, 68, 15, 8, 3, 9
2022/6/25, 38, 21, 4, 4, 8
2022/6/26, 54, 27, 6, 6, 9
2022/6/27, 64, 31, 8, 8, 10
2022/6/28, 68, 93, 8, 3, 6
2022/6/29, 126, 22, 4, 5, 3
2022/6/30, 49, 34, 5, 7, 4
2022/1/3, 80, 70, 33, 16, 6
2022/1/4, 145, 91, 20, 7, 6
2022/1/5, 156, 63, 23, 16, 4
2022/1/6, 124, 81, 27, 16, 5
2022/1/7, 152, 49, 14, 6, 4
2022/1/8, 108, 30, 14, 6, 3
2022/1/9, 67, 38, 25, 7, 3
2022/1/10, 82, 61, 20, 6, 5
2022/1/11, 124, 55, 19, 5, 4
2022/1/12, 113, 65, 22, 4, 5
2022/1/13, 138, 70, 23, 4, 6
2022/1/14, 143, 67, 25, 18, 5
2022/1/15, 135, 62, 14, 4, 5
2022/1/16, 125, 60, 11, 4, 5
2022/1/17, 122, 64, 17, 4, 5
2022/1/18, 132, 65, 52, 18, 6
2022/1/19, 136, 47, 21, 7, 4
2022/1/20, 99, 34, 8, 10, 4
2022/1/21, 76, 38, 15, 7, 4
2022/1/22, 84, 338, 18, 10, 2
2022/1/23, 304, 146, 37, 16, 3
2022/1/24, 210, 116, 23, 9, 5
2022/1/25, 182, 102, 37, 6, 5
2022/1/26, 176, 80, 18, 4, 6
2022/1/27, 157, 70, 14, 4, 5
2022/1/28, 151, 65, 14, 4, 4
2022/1/29, 140, 67, 18, 4, 6
2022/1/30, 143, 66, 45, 4, 6
2022/1/31, 139, 59, 33, 4, 5
2022/2/1, 127, , , , 
2022/2/4, 178, , , , 
2022/2/7, 130, 40, 26, 19, 4
2022/2/8, 83, 49, 20, 5, 4
2022/2/9, 105, 66, 21, 5, 6
2022/2/10, 141, 74, 15, 4, 6
2022/2/11, 144, 64, 17, 6, 6
2022/2/12, 132, 62, 34, 4, 6
2022/2/13, 127, 54, 26, 17, 7
2022/2/14, 113, 42, 30, 17, 5
2022/2/15, 82, 22, 9, 5, 4
2022/2/16, 57, 34, 9, 4, 5
2022/2/17, 77, 46, 13, 6, 6
2022/2/18, 96, 67, 25, 5, 6
2022/2/19, 139, 67, 37, 18, 6
2022/2/20, 140, 77, 48, 4, 7
2022/2/21, 154, 73, 12, 4, 6
2022/2/22, 138, 66, 18, 4, 8
2022/2/23, 138, 83, 55, 4, 7
2022/2/24, 162, 118, 67, 4, 8
2022/2/25, 186, 100, 32, 4, 7
2022/2/26, 174, 88, 28, 4, 6
2022/2/27, 166, 99, 30, 4, 8
2022/2/28, 172, 91, 56, 5, 7
2022/3/1, 167, 96, 20, 19, 8
2022/3/2, 169, 97, 23, 4, 9
2022/3/3, 170, 83, 21, 5, 7
2022/3/4, 160, 90, 42, 18, 7
2022/3/5, 166, 90, 21, 4, 10
2022/3/6, 165, 77, 17, 4, 8
2022/3/7, 154, 91, 14, 4, 8
2022/3/8, 162, 104, 39, 5, 11
2022/3/9, 175, 92, 29, 4, 10
2022/3/10, 165, 93, 37, 4, 10
2022/3/11, 167, 54, 52, 4, 8
2022/3/12, 105, 62, 26, 18, 9
2022/3/13, 124, 61, 43, 5, 8
2022/3/14, 121, 72, 22, 4, 9
2022/3/15, 139, 69, 22, 4, 7
2022/3/16, 130, 59, 39, 18, 7
2022/3/17, 111, 59, 36, 4, 9
2022/3/18, 119, 53, 9, 3, 7
2022/3/19, 102, 54, 15, 18, 6
2022/3/20, 111, 82, 19, 18, 7
2022/3/21, 153, 70, 18, 4, 8
2022/3/22, 139, 64, 14, 4, 6
2022/3/23, 130, , , , 
2022/3/29, 126, 35, 13, 4, 7
2022/3/30, 76, 72, 11, 4, 7
2022/3/31, 107, 61, 17, 4, 7
2021/12/28, 146, 53, 28, 4, 2
2021/12/29, 111, 70, 10, 4, 4
2021/12/30, 143, 73, 11, 10, 5
2021/12/31, 147, 65, 11, 8, 6
2022/1/1, 132, 22, 15, 7, 5
2022/1/2, 48, 39, 17, 6, 6
2025/2/2, , 84, 43, 9, 1
2024/12/31, , 39, 29, 7, 5
2024/10/14, , 46, 42, 17, 8
2024/12/22, , 79, 37, 10, 
2024/7/2, , 67, 4, , 6
2024/7/10, , 22, 3, 5, 6
2024/8/9, , 7, 1, , 
2024/8/11, , 13, 3, 1, 1
2024/8/13, , 17, , , 2
2024/8/17, , 9, , , 1
2024/9/22, , 6, 4, 1, 1
2024/9/24, , 23, 25, 4, 4
2024/4/2, , 105, 30, 13, 6
2024/4/9, , 55, 35, 2, 8
2024/4/12, , 54, 23, 10, 2
2024/4/24, , 65, 13, 8, 5
2024/4/26, , 74, 58, 9, 9
2024/5/12, , 90, 23, 14, 14
2024/5/16, , 67, 27, 7, 11
2024/6/10, , 29, 13, 3, 11
2024/6/13, , 34, 5, 4, 8
2024/1/8, , 73, 58, 56, 8
2024/1/14, , 50, 34, 27, 2
2024/1/21, , 104, 77, 22, 2
2024/1/28, , 130, 5, 68, 3
2024/2/1, , 70, , 27, 1
2024/2/14, , 132, 79, 25, 6
2024/2/20, , 4, 9, 11, 
2024/3/18, , 93, 19, 3, 3
2024/3/29, , 89, 31, 6, 4
2023/11/18, , 68, 20, 12, 16
2023/11/21, , 63, 22, 12, 15
2023/11/29, , 40, 23, 12, 14
2023/12/8, , 56, 43, 12, 19
2023/12/13, , 58, 64, 11, 14
2023/12/18, , 67, 11, 5, 20
2023/7/6, , 672, 13, 8, 12
2023/7/12, , 837, , , 
2023/8/24, , 20, , , 
2023/8/30, , 21, , , 
2023/9/5, , 21, , , 
2023/9/10, , 24, 16, 5, 26
2023/4/2, , 7, 27, 5, 10
2023/4/19, , 37, 35, 2, 16
2023/5/16, , 62, 20, 3, 20
2023/5/21, , 44, 25, 2, 20
2023/6/14, , 34, 11, 3, 18
2023/2/3, , 84, 74, 6, 4
2023/3/27, , 60, 43, 2, 12
2022/10/23, , 50, 4, 48, 16
2022/12/14, , 36, 21, 11, 4
2022/7/13, , 39, 14, 4, 7
2022/8/7, , 11, 15, 5, 
2022/8/11, , 49, 12, 6, 3
2022/8/17, , 21, 11, 10, 1
2022/9/11, , 58, 10, 20, 7
2022/4/17, , 31, 23, 4, 5
2022/4/28, , 42, 10, 4, 7
2022/2/3, , 107, 23, 16, 3
2022/2/6, , 60, 27, 4, 4
2022/3/28, , 70, 22, 4, 7
2021/12/27, , 69, 14, 4, 1
2023/7/20, , , 8, 3, 
2023/7/21, , , 8, 2, 
2023/7/22, , , 8, 2, 
2023/7/23, , , 8, 3, 
2023/7/24, , , 8, 3, 
2023/7/25, , , 8, 3, 
2023/9/9, , , 16, 5, 27
